اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
باريس والحب,1971,رومانسي,97,دار حدث فيلم اسر فقير ٱعتمد مادي كبير ٱبنه عمل مطرب حان صغير عرف ٱبنه مليوناري شاب عاءد باريس وقع حب شجع اسر علاقه حتي تزوج مليوناري ٱنتشل فقر عاش فتاه رفض اتمام زيجه تفاوت مستوي اﻹجتماعي,"صلاح ذو الفقار,صباح,يوسف شعبان,محمد رضا,أكرم الأحمر,سميرة بارودي,سيلفانا بدرخان,كيغام,كهرمان,سمير أبو سعيد,فوزي الكيالي,صلاح نادر,بيجي عريس","محمد عثمان,محمد سلمان",محمود النمير,"رفيق طمبا,روبير طمبا",ميشال تامر,nan,nan,nan,"محمد سلمان,عدنان دلال,يوسف شرف الدين",nan
لست مستهترة,1971,دراما,112,دار حدث قصه سعاد اقام قصر والد متوفي طلاق زوج احمد علاقه النساءيه متعدد قصر حاول خادم سلوي خلص سعاد ٱبن رجل سبب دخول زوج سجن ظلم ٱتهام قتل شابه علاقه والد سعاد طلب سعاد محامي قريب خداع سلوي ايقاع اسهام حب,"حسن يوسف,نبيلة عبيد,زيزي البدراوي,سمير صبري,صلاح نظمي,حسن علاء الدين (شوشو),سلوى سعيد,طلحت حمدي,أمال عفيش,يوسف حسني,صابر أبو لبن,سهيل نعماني,زكريا المصري,يوسف فخري,علي دياب,فيفي عبده",محمد مصطفى سامي,"أنور الشيخ ياسين,ابراهيم والى,يوسف رعد,ديب صابات","غسان هارون,زهير رعد,علي رعد,موسى كايد,نبيل رعد","فكري رستم,محمد الطباخ",سلوى مطر,nan,"حلمي بكر,زكي ناصيف,سيد مرسي,سناء الباروني","حسن الإمام,جمال عمار,على علام",أنور الشيخ ياسين
ثرثرة فوق النيل,1971,دراما,122,اهم فيلم سينما مصري جسد كاتب مبدع نجيب محفوظ حال لامبالاه ٱنكسار ٱستسلام هزيمه راوند نكسه رمز مصر لاح مات حادث سياره مجموع مسطول تجسيد ٱنكسار مصر تخاذل القاءمين دوله وقت رمز موت مصر ابناء حال ٱنتفاضه نادي بطل فيلم عماد حمدي اخر مشهد فيلم حتمي ٱنتفاضه تحطيم لامبالاه ٱنحلال نهوض دوله كسر هزيمه تحويل نصر تحقق فيل سنه عبور اكتوبر عظيم,"أحمد رمزي,ماجدة الخطيب,ميرفت أمين,عماد حمدي,عادل أدهم,سهير رمزي,نعمت مختار,صلاح نظمي,أحمد توفيق,مجدي وهبة,أحمد الجزيري,عايدة الشاعر,محمود كامل,حمدي يوسف,أنور مدكور,قدرية كامل,زيزي فريد,محمد سليمان,فتحية علي,رضوان حافظ,عبدالله بيومى,محمد سلطان,سمير رستم,محمود حمدي,محمود فريد","نجيب محفوظ,ممدوح الليثي","وجيه الليثي,جمال الليثي,محمد حجاج,حسن محمد حسن,أفلام جمال الليثي","مصطفى إمام,يحيى عباس","رشيدة عبدالسلام,محمد الزرقا,هدى المهدية","ماهر عبدالنور,نجيب خوري",nan,"علي إسماعيل,عايدة الشاعر","حسين كمال,محمد عبدالعزيز",أفلام جمال الليثي
ابنتي العزيزة,1971,رومانسي,100,ٱجتماع دار حدث فيلم قرر شريف رشدي اباظه تبني نجوي نجا سمع صوت اعجب مصادفه جمع صداقه ٱبن شقيق شريف طريق عرف هوه شريف حقيقي وقع حب عرف حقيقه طرف اخر,"نجاة الصغيرة,رشدي أباظة,ماجدة صالح,عمر خورشيد,زوزو شكيب,عزيزة حلمي,إبراهيم سعفان,سعيد خليل,هالة الشواربي,عبدالمنعم بسيوني,مختار السيد,حسن مصطفى,سميرة مرقص,ليلى عيسى,سمير رستم",محمد أبو يوسف,"المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى),عبدالمسيح","وحيد فريد,عصام فريد,مصطفى السيد,عبدالله ياقوت","سعيد الشيخ,سلوى بكير,مارسيل صالح","ماهر عبدالنور,عثمان حسين,نجيب خوري,حسني البناني",فوزية مراد,"عمر خورشيد,عبدالوهاب,بليغ حمدي,محمد الموجي,مرسي جميل عزيز,محمد حمزة","حلمي رفلة,أحمد عيسى ,إبراهيم فتحي",المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)
الظريف والشهم والطماع,1971,كوميدي,129,وجيه محرر اسكندري بحث هدوء ٱستقرار ٱستجمام وفق حجر خالي فندق ٱختار لجا استءجار حجر خالي شقه ٱمتلك سنيه توافق اسكان عزب بدايه امر لٰكن وافق عرف اسر قاهره باستءذان خطيب عبدالحفيظ نظام اقام شقه سنيه صرامه ماكل مشرب خروج بدا ٱلتزم مقيم نزل شقه مهندس انور حجر خالي دفع وجيه طلب مشاركه حجر مراعاه ظرف خاص اهل رغب تزويج ٱبن عم صعيد ذٰلك هرب اسكندري وجيه سنيه اقام ٱجتمع افطار حكي ظرف خطبه ٱبن عبدالحفيظ ٱشترط اتمام زواج تسديد دين اب ثمه حيله تاجير حجر تطور علاقه انور سنه تعدد مفارقه تحول استلطاف حب ٱنتهي مفارقه عديد زواج نظر شقه عروس ارب,"نادية لطفي,أحمد مظهر,أمين الهنيدي,عبدالمنعم إبراهيم,كريمة مختار,حسين الشربيني,نبيلة السيد,عز الدين إسلام,سمير ولي الدين,مراد سليمان,رجاء سراج,صافيناز الجندي,هدى زكي,عصام مصطفى,سميحة محمد,فؤاد فهمى,سيد عبدالكريم,مدحت مرسي,أحمد أبو عبية,علي السيد,جمال حسني,سوزي خيري,أنجيل آرام,محمود المليجي,سيد عبدالله,نور الدمرداش,ليلى جمال,فخري عازر",نور الدمرداش,"يوسف مكارى فيلم,سيد إسماعيل,حمدى حسن,عصام مصطفى","عبدالمنعم بهنسي,غنيم بهنسي,محمد شاكر","نادية شكري,محيي الدين أحمد,عادل شكري","عبدالله رجب,ستوديوهات جلال,عجمي عبدالرحمن,عبدالمنعم شكري",عزيزه مراد,"إبراهيم حجايج,أحمد أبو زيد,ليلى جمال,شريف المنياوي,إبراهيم رأفت,أمين الهنيدي,عبدالرحمن الأبنودي,إبراهيم رجب","نور الدمرداش,إبراهيم المنياوى",المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)
أغنية على الممر,1972,حرب,86,عطل جهاز لاسلكي ٱنقطع ٱتصال قياده مجموع جندي دافع ممر جبل سينا منع عدو ٱقتحام حاول شاويش محمد اصلاح جهاز جدي نفذ ذخيره طعام تدريجي حاول عدو ٱقتحام تصدي جندي بساله مرور جهاز عمل القي شاويش محمد امر ٱنسحاب رفض معظم جندي ضعيف القي حتف ٱستشهد اخر محاوله تمسك واجب عسكري عصيب ذكر ذكريات خارج جيش,"محمود مرسي,صلاح قابيل,أحمد مرعي,صلاح السعدني,محمود ياسين,هالة فاخر,مديحة كامل,عبدالعزيز أبو الليل,صلاح مرعي,راوية عاشور,عبدالخالق صالح,فتحية علي,حللي محمد (محمد حللي),وسيلة حسين,حلمي هلالي,أبو الفتوح عمارة,سهير الباروني,سمير رستم,محمد الرملي","علي سالم,مصطفى محرم","جماعة السينما الجديدة مع المؤسسة العامة للسينما,محمد راضي","رفعت راغب,عبدالحميد عمر","أحمد متولي,نفيسة نصر,ليلى فهمي","صلاح مرعي,محمد كامل,نهاد بهجت",nan,"حسن نشأت,عبدالرحمن الأبنودي","علي عبدالخالق,عبداللطيف زكي",المؤسسة العربية للسينما
الأضواء,1972,مغامرات,114,فتاه ريف جميل بسيطه ادهش جذب عمل فرقه عمل السينماءي متلفه مخرج كادر عمل جاء ريف عاش فتاه تصوير مشهد السينماءيه تاجج عمق فتاه رغبه جامح نجم عالم شهر ضوء عالم سينما خصوص دفع فضول فطر تهكم بطل فيلم صوت مسموع حركه ظاهره تءدي مشهد دفع بطل رد عنف ٱستهان حادث زاد شوق شغف فتاه ريف دخول عالم ضوء هروب ريف تارك وراء اهل ومستدلا عنوان جديد مدينه قاهره مساعد بطل فيلم لبيس بدا رحله جديد تعرض خديع تاره والي ٱغتصاب تاره اخري حتي ٱستدل مخرج كبير نسب استاذ مشرف عراب دخل فعل عالم ضوء سعي لٰكن مرور ادرك عالم معني بهرجه حقيقي بدا شعور احباط تنامي داخل حث عود منبع واقع حقيقي عالم نقي ولد اعاد كره هرب جديد مكان هرب مره,"يحيى شاهين,ناهد يسري,أحمد مرعي,مريم فخر الدين,نبيلة السيد,محمد نوح,سامي واصف,محمد أباظة,سمير نوار,فاروق يوسف,وسيلة حسين,سمير ولي الدين,عزت المشد,فتحي عزت,مصطفى الزناتي,سميرة سالم,حمدي مرسي,حسن أنيس,أشرف السرتي,عبدالقادر حسين,عبدالمنعم عبدالرحمن,يوسف فخر الدين,عبدالعظيم عبدالحق,صلاح نظمي,ناهد شريف,توفيق الدقن,كمال الشناوي,أمينة رزق,عواطف يوسف,رجاء يوسف",حسين حلمي المهندس,"عبدالرؤوف عبدالهادى,حسن موافى,علي الحسيني,عبدالسلام موسى,المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)","بدر الدين ابراهيم,تحتمس صديق,فيكتور أنطون","وديع شفيق,حسين عفيفي,عادل شكري","مرشدي طه,نجيب خوري,مصطفى الشريف,محمود محسن,محمد حسن جاد,عبدالمنعم شكري",nan,"عبدالعظيم عبدالحق,عبدالله أحمد عبدالله (ميكي ماوس),فؤاد الظاهري","حسين حلمي المهندس,عبدالفتاح مدبولي",المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)
عاشقة نفسها,1972,رومانسي,100,فتاه جمال اخاذ شعر طمع رجل نتيجه جمال فتاه دلال اصاب عقد حب حتي تزوج رجل ثري ٱستطاع اعطي طلب رجل رغم تزوج اراد رجل كبر حاول دكتور مختار ٱبن شقيق زوج عالج حال مر استاذ بدا عجوز ثري ٱبن وخي ٱنفعل ٱعتلي صحه ٱزداد عجوز تاثر تقارب دلال ود مختار حتي مات نجح مختار علاج مرض تزوج,"شكري سرحان,نجلاء فتحي,صلاح منصور,أحمد عبدالحليم,عمر ناجي,بدر نوفل,فيفي سعيد,محمود رشاد,ميرفت كاظم,محمود العراقي,حافظ أمين,أميرة زيتون,سيد عبدالله,رشوان مصطفى,سيد زيان,حمدي يوسف","حسن رشاد,بكر الشرقاوي","خليل دياب,منير التوني,زكريا إبراهيم,فكري الجوهري","عبدالمنعم بهنسي,غنيم بهنسي,محمد شاكر","فكري رستم,عادل شكري,طلعت فيظي","ستوديو الأهرام (ستوديوهات الأهرام),عباس عبدالرحمن",nan,nan,"منير التوني,عبدالعزيز جاد,ملاك أندراوس",الهيئة العامة للسينما والمسرح والموسيقى
الحاجز,1972,دراما,103,رجل عمل كبير صلاح رعايه وخي عزت ٱختار كليه طب رغم ميل ادب ماطل صلاح زواج عشيق نادي سعي مشغل عزت نجح ايقاع حب تزوج صلاح ٱستمر علاقه عز رغم محاوله صد حفاظ شرف وخي اصاب عزت حمي ٱزداد حال سوء ٱعتني نادي حاول ٱعتداء قاوم فزع حال خرج مشرط عجز ٱستخدام كليه طب قتل,"نادية لطفي,يحيى شاهين,نور الشريف,السيد راضي,أنور إسماعيل,تغريد عبدالحميد (تغريد علي),نبوية سعيد",بهيج إسماعيل,"عبدالسلام موسى,مختار أمين,المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى),عزيز فاضل,على رضوان,كامل مدكور,صلاح خطاب","وديد سري,فوزي إبراهيم,مصطفى السيد,مكرم سالم","أحمد متولي,ليلى فهمي,طلعت فيظي","صلاح مرعي,نهاد بهجت,ستوديو الأهرام (ستوديوهات الأهرام)",عزيزه مراد,شعبان أبو السعد,"محمد راضي,فؤاد فيض الله,منير راضي",المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)
الناس والنيل,1972,دراما,105,بدا حدث فيلم تحويل مجري نهر نيل بدا فرح وجه مصري بدا شخص عديد ذكر قصه طبيب امين ٱلتحق عمل سد خدمه عامل رفض نادي فنان تشكيل كره ٱنتقال اسوان صحبه زوج اب مهندس ٱنتقل اسوان ٱضطر سفر عرف راق عامل نوبي نيكولاي عامل فني روسي مهندس روسي اليكس عاني مشكله زوجه زوي ٱحتمل حياه مصر ٱنتصر عمل حب معا اقنع زوجه بالمبادء رساله سامي هءلاء عمران اسعاد اخر,"سعاد حسني,عزت العلايلي,صلاح ذو الفقار,محمود المليجي,سيف عبدالرحمن,مديحة سالم,فاطمة عمارة,زوزو ماضي,علية عبدالمنعم,حسين إسماعيل,سيف الدين شوكت,ايجور فلادميروف,فالنتينا,ديورى كاميرونى,فاليريا ايفاشكوف,أشرف السلحدار","نيكولاي فيجوروفسكي,حسن فؤاد","موسفيلم - موسكو,المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)",شلينكوف وتشى. بييتر تشفكو,رشيدة عبدالسلام,"ماهر عبدالنور,غسان سالم",nan,خاتشادوريان,يوسف شاهين,المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)
رغبات ممنوعة,1972,رومانسي,110,عطيه جبلاوي رجل مهووس ملك فرض رقابه صارم ال بيت سواء شقيق افاد حاول هرب منزل تزوج احب لٰكن مقتل سام ٱبنه منع ذهاب مدرسه حداثه سن وححكم جهل حتي اتي قدر عز زميل شقيق احمد جامعه,"شادية,ميرفت أمين,حسين فهمي,كريمة مختار,توفيق الدقن,عايدة عبدالعزيز,محمود المليجي,يوسف شعبان,علي الشريف,محمد خليل,مختار السيد,عبدالعظيم شعلان,أنور العسكرى,عزت عبدالجواد,مطاوع عويس,علي المعاون,حللي محمد (محمد حللي),محمد أبو حشيش","حنيفة فتحي,صبري موسى","المتحدة للسينما (صبحي فرحات),سيد إسماعيل,محمد زكى القص,محمد عبدالرحمن,أحمد فؤاد",محسن نصر,"سعيد الشيخ,سلوى بكير,مارسيل صالح","ماهر عبدالنور,حسين الشريف (حسين شريف),ستوديو نحاس (النيل)",nan,فؤاد الظاهري,"أشرف فهمي,أحمد ياسين,عصمت عفيفي",المتحدة للسينما (صبحي فرحات)
مقلب من المكسيك,1972,عائلي,-,عاني تيسير هادي القلعي رجل محافظ عقد زواج اخت رغم ضاق خناق بنت تقدم شاب خطبه ٱبنه كوثر عرف اب ٱبنه واقع جرام شاب رفض تمام مرجعيه مقلب ادار شقيق وصف شقيق زوجه دريد لحم ٱكتشف مخطء خصوص اخت عاش نزاهه شرف,"نهاد قلعي,دريد لحام,منى واصف,سلمى المصري,نور كيالي,هالة شوكت,شاكر بريخان,ناهد يسري,إيمان طرقجي,ندى صلاحي  ,فاتن حلال,هيفاء فرنجية,رياض شحرور,ماهر الصوص,سحر حسامي,محمد الشيخ نجيب,حياة شاكر     ,محمد طرقجي,ألفا,أسامة خلقي,جميل العبد,ناهد حلبي,رنا عجة,مها المصري,لينا باتع,أحمد طرابيشي,فريال شموس,صالح خلقي,لويس بدوي,إعتدال غلا الحليب,عزت شراباتي,فيكديز,صباح الجزائري,شكرية خشفة,نادرة الأسطة,غادة المير,رحاب كيالي,زورا,جميل ولاية,صباح فرنجية,فاديا حسامي,هشام المصري,فاطمة قدورة ,وفاء خشفة,سامي توبان,عامر جميل,عمر ولاية ",فيصل الياسري,"شاكر بريخان,جلال سالم,مظهر جليلاتي",أحمد أبو سعده,"قيس الزبيدي,فارس ديب",nan,nan,وليد غلمية,"سيف الدين شوكت,سمير سلمون",nan
العالم سنة 2000,1972,خيال علمي,105,شعر شاب قادر زواج ثري ملك سوي قسط ضءيل مهر مناسب دفع والد فتاه ٱبنه زواج شاب ثري ربما صدم حاول ٱستخدام مهاره علمي وخي اخ اسقاط شعاع حجم عقل اصبع بدا مضايقه زوج ٱكتشف عالم فقير مسكين غني اخذ المزكي اعطي محتاج نجح ابعاد زوج لون حال طبيعي طارد زوج قرر اخوه تصغير تصغير بدا سينما سوري,"حسن يوسف,سهير رمزي,زياد مولوي,أديب قدورة,نجوى فؤاد,عبداللطيف فتحي,منى واصف,صلاح قصاص,سيف عبدالرحمن,مها الصالح,نجاح حفيظ,ياسين أرناؤوط,أحمد عداس,لويس بدوي,هاني شاهين,محمد جبولي,شارلوت رشدي,أديب شحاده,عبدالسلام الطيب,أحمد مسالخي,أزهار,محمد طرقجي,نهى أبو سمرة,عادل عامر,يوسف شويري,مروان استانبولي,ربيع قباني,محمد العقاد,سمير خولي",nan,"محمد الرواس,دمشق",محمد الرواس,مروان عكاوي,nan,nan,منوعات,أحمد فؤاد,nan
الصراخ,1972,دراما,85,حكم سعودي موت وقع جرام شاب غريب جاء مدينه ذٰلك نبيل مدينه تقرر نساء ٱحتجاج حكم نظم مسيره ثني دفن سعدي رغم امر ممنوع وقع سلمي حب شاب فقير عارض اب زواج امل نقد,"محمود دراجى,سلوى محمد,أحمد زعيبى,حسيبة رشدي,جميلة عرابى,أنيسة لطفي,مختار حشيشة,الحبيب الشعري,الزهرة فائزة","عمر الخليفى,عمار الخليفي",عمار الخليفي,عز الدين بن عمار,فوزية طايع,محمد مسهيلى,nan,nan,"عمر الخليفى,عمار الخليفي",nan
إمبراطورية ميم,1972,رومانسي,113,وفاه زوج حمل فاتن حمام مسءوليه تربيه ابناء سته جانب عمل وزاره تربيه تعليم نمو ولد ٱزداد مشكله ٱزداد عبء والد تربيه خاص وصول غلب سن مراهق توتر علاقه توقيت وقع تدريجي قصه حب رجل عمل احمد راف احمد مظهر لٰكن ٱستسلم مشعر سهوله حيره تفرغ ابناء تفكير مستقبل احمد,"فاتن حمامة,أحمد مظهر,دولت أبيض,سيف أبو النجا,هشام سليم,أحمد نجيب,أسامة أبو الفتوح,حياة قنديل,ليلى حمادة,علي جوهر,فتحية شاهين,هانم محمد,إبراهيم الباجوري","إحسان عبدالقدوس,نجيب محفوظ,محمد مصطفى سامي,كوثر هيكل","محسن علم الدين,مراد رمسيس نجيب","وحيد فريد,عبدالله ياقوت,سمير فرج","رشيدة عبدالسلام,محمد الزرقا,زينب وهبي","نهاد بهجت,عبدالحميد السخاوي",nan,طارق شرارة,"حسين كمال,حسن إبراهيم","مراد فيلم,وكالة الجاعونى"
عماشة فى الأدغال,1972,مغامرات,135,سافر عماشه رجل ٱبن بلد ٱسم عماشه عكاشه عماشه شعبان رمضان ادغال افريقيا بحث كنز عماشه ذٰلك صحبه عالم محروس ٱصطحب عماشه مجموع صبي اوغندا رحله ترفيهي سياحي توالي حدث,"محمد رضا,صفاء أبو السعود,فؤاد المهندس,نبيلة السيد,عبدالسلام محمد,إبراهيم سعفان,سيد زيان,سيف الله مختار,نجوى فؤاد,سهير زكي,سيد إبراهيم",عبدالرحمن شوقي,سالم فيلم,"محمود بكر,محمود نصر,محسن نصر","عزه حليم,عادل شكري,شريف فيظى",عمر النجدي,nan,جمال سلامة,"محمد سالم,أحمد بدر الدين,جمال عمار,حسن إبراهيم",nan
الخطافين,1972,حركة,107,ٱمتلك جلال ابو مجد ورشه خراطه قرر سفر المانيا شراء مكن جديد تحديث ورشه ورشه رعايه شقيق اكبر شريف عرف حسنين نصاب شريك جين اتمام صفقه معدات ورشه ٱعتبر شريف مكسب تسليم ٱكتشف شريف معدات ماءي طوب بناء احمر قرر شريف ٱنتقام حسنين جين قتل ٱسترداد مال جلال المانيا حاول شريف ٱسترداد مال,"فريد شوقي,نبيلة عبيد,توفيق الدقن,يوسف فخر الدين,سهير زكي,كنعان وصفي,الطوخي توفيق,عفاف وجدي,مختار السيد,سمير ولي الدين,أحمد أبو عبية,فاروق علي,نادية عبدالسلام,زهير شلبي,ربيع كنعان وصفي",محمود أبو زيد,"محمود صلاح الدين,عاطف رزق,مخلص شافعى (المحامي)","كمال كريم,سمير فرج,جميل عبدالرحمن","عبدالعزيز فخري,محمد الطباخ,وداد راغب","نجيب خوري,حلمي عزب",nan,nan,"حسام الدين مصطفى,أحمد السبعاوي,نجيب إسكندر",nan
آفاق,1972,وثائقي,39,قدم فيلم مشهد متفرق حياه ثقافي مصر مشغول يدوي عمل فن تشكيلي باﻹضافه جانب عرض راقص موسيقي مسرح متنوع,"محمد صبحي,نيفين رامز",شادي عبدالسلام,مركز الفيلم التجريبي,"سمير فرج,مصطفى إمام","مارسيل صالح,كمال أبو العلا,رحمة منتصر",صلاح مرعي,nan,عبدالحليم نويرة,"شادي عبدالسلام,عاطف البكرى,محمد صبحي",nan
شياطين البحر,1972,كوميدي,105,شباب جمع صداقه حي حماده صلاح حسن حاول تصدي رجل معلم ٱشتغل شيء ممنوع سرق هءلاء شب سياره هارون هرب تصدي بوليس خاف هارون سياره محمل مخدر انقذ هارون خشي ٱفتضح امر مخدر صديق تجنيد ٱلتحق حر سام اخت صلاح عمل هارون سكرتير وحيد لٰكن تتحايل موقف بدا مساعد ضابط مبحث عادل محاوله ايقاع تشكيل عصابي نجح محاوله ثني خروج صديق اجازه راوند تدريب حر نجح عادل قبض عصابه,"شكري سرحان,حسن يوسف,محمد عوض,يوسف فخر الدين,نيللي,محمد رضا,غسان مطر,أحمد لوكسر,كنعان وصفي,فتحية شاهين,بليغ حبشي,نبيل الهجرسي,الطوخي توفيق,علية عبدالمنعم,كمال الزيني,فاطمة مظهر,هالة الصافي,صافى,حلمي عبدالوهاب,سميحة محمد",عدلي المولد,"حلمى الجندى,جمهوريّة فيلم","إبراهيم صالح,عبدالحميد عمر","فكري رستم,مارسيل صالح,طلعت فيظي","حلمي عزب,ستوديو الأهرام (ستوديوهات الأهرام),جمال مرسي,نجيب خوري",nan,nan,"حسام الدين مصطفى,أحمد السبعاوي,نجيب إسكندر",جمهوريّة فيلم
السكين,1972,دراما,75,عاش حامد زكريا مدينه غزه نكسه حامد شاب حالم كره الاسراءيليين صدم صديق زكريا تعامل محتل قرر ذهاب ضفه غربي بحث ام لقي قابل صحراء جندي اسراءيليا اخذ حياه منح اخر,"سهير المرشدي,رفيق السبيعي,بسام لطفي,ناجي جبر,عاطفة خالدي,رضوان الساطى,جورج كنعان,وصفي المالح","غسان كنفاني,خالد حمادة",المؤسسة العامة للسينما (دمشق),"جورج  لطفي الخوري,عبدالغني الخجا,سركيس خوري","قيس الزبيدي,هيثم قوتلي,إلهام الجندي,فارس ديب,فدوى حقي",لبيب رسلان,nan,صلحي الوادي,"خالد حمادة,جورج كنعان",nan
لعبة كل يوم,1972,دراما,110,مجموع مهمش اتي ريف عاصمه بحث مصدر شباره عمل منادي سياره عرف ٱنشراح وقع حب معلم عمل شباره طمع ٱنشراح دبر مءامره خدع عينو ٱبن معلم سلب شرف رفض زواج ٱستمر صراع,"نبيلة عبيد,ماجدة الخطيب,تحية كاريوكا,عبدالمنعم إبراهيم,عزت العلايلي,محمد رضا,عبدالمنعم مدبولي,مديحة حمدي,عزيزة حلمي,شفيق نور الدين,سعيد صالح,عبدالسلام محمد,جمال إسماعيل,عبدالغني النجدي,عبدالمنعم بسيوني,سيف الله مختار,محمد أبو حشيش,عمران بحر","أحمد لطفى,عبدالمجيد أبو زيد,عبدالقادر التلمساني","المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى),سيد إسماعيل,مصطفى جبر,يوسف عبيد","ضياء الدين المهدي,بدر الدين ابراهيم,ابراهيم علام","كمال أبو العلا,حسن النجار,ناهد مكاوي,صلاح بسيوني","عبدالمنعم شكري,محمود المغربي,محمود حسنين الشيخ",nan,"علي إسماعيل,محمد الموجي,محمد العزبي","خليل شوقي,صبحى عبدالعزيز,نبيهة لطفي,حسين الطيب",المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)
بيت من رمال,1972,رومانسي,87,عصام شاب عشره عمر وقع حب امين صغر هرب اسكندري تزوج زواج عرف رفض اهل زواج صغر سن ثني وجود امين الشاطيء شاهد مجموع ناس ٱقترب ظن رد اسر جاء تراجع وقع بحر غرق ٱتضح مجموع ماذون رجل شرطه جاء منع زواج شرعي,"علي كمال,بوسي,مريم فخر الدين,أحمد مظهر,صلاح منصور,سناء جميل,عدلي كاسب,علية عبدالمنعم,إبراهيم عمارة,نورا,دينا عبدالله",سعد عرفة,المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى),nan,nan,nan,nan,nan,سعد عرفة,nan
حكاية بنت إسمها مرمر,1972,دراما,-,ٱلتحق مرمر سهير المرشدي كليه بنت قاهره ٱضطر مدينه بني سويف عاش زوج ٱبن احمد محمود ياسين احب باح حب ضبط زوج غرفه صمم بلد ٱبتعد قرر اهل زوج جاد الله صلاح منصور رجل عمل ثري نقل فيلا قاهره شعر مرمر فر تصرف المقززه شهواني طلب طلاق خاص متزوج اخري لٰكن رفض نصح صديق سام شكري دراسه انجليزي عمل مضيف جوي ساعد احمد خاص صحيفه مركز ساعد زوج مرمر كتاب قصه حياه والد رام لٰكن ضبط معا وضع رومانسي اثار غضب نشب معركه احمد ٱضطر مرمر ضرب راس زجاجه اصاب دخل مستشفي اطلق تقرر مرمر بدا حياه جديد نجح عمل مضيف جوي سافر ماضي مكون شخص جديد,"سهير المرشدي,سامية شكري,صلاح منصور,محمود ياسين,علية عبدالمنعم,سلامة إلياس,عبدالعزيز أبو الليل,محمد خيري,محمود رشاد,ملك الجمل,هياتم,عزة فؤاد,علية علي,سامية الطوخى,حمدية حسين,سيد عبدالكريم","سيد خميس,محمد عفيفي,هنري بركات","تاكفور أنطونيان,عاطف رزق,إيجيبكو لتوزيع الأفلام - تاكفور أنطونيان",عبدالحليم نصر,عبدالعزيز فخري,حلمي عزب,nan,nan,هنري بركات,المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)
ساعة الصفر,1972,دراما,-,سيف ضابط شرطه طارد عصابه تهريب جوهر خارج ثني مطارد قتل رجل عصابه حكم فصل خدم طلب عصابه مراد عمل وافق لبنان اتمام صفقه عمليه شكا عصابه سيف عمل شرطه خطف ٱبن رهينه قيام عمليه تبديل عمل حساب عصابه توالي حدث جو مثير,"رشدي أباظة,سامية جمال,ناهد شريف,مريم فخر الدين,صلاح نظمي,توفيق الدقن,محمد حمدي,محمد صبيح,كنعان وصفي,علي عز الدين,ماجد فهمي,رشاد السيد,محمد الرملي,تغريد عبدالحميد (تغريد علي)","صلاح نظمي,حسين حلمي المهندس","عاطف السيسي,محسن فرجانى",nan,nan,nan,nan,"فؤاد الظاهري,بليغ حمدي","حسين حلمي المهندس,فوزي علي,عبدالفتاح مدبولي",أفلام إيهاب الليثي
المدينة الهادئة,1972,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,90,عمر عمل شركه راس جميل ٱكتشف عمر تزوير ورق حساب حاول جميل مدير محمود منع قبض عمر ٱكتشف محمود تحويل مال عشيق تصاعد حدث,"بكري العطار,أنور السردار,صباح فخري,هدى فريد,شكرية عبدالكريم,رياض سعيد,فاتخ غضنفر,إبراهيم خان,عبدالكريم سماقية,زهير حداد,رفيق السبيعي,يوسف شعبان,ماجدة الخطيب,عبدالمنعم إبراهيم,سوزى حمدى,نزار زوبري,حكمت ارمنازي,فايزة عادل,سعدية غريب,عبدالله الغول,بشير انيس,وليد حداد,محي الدين موصللي",أنور السردار,"سوريا,مؤسسة السينما",أحمد عرفان,"حسن رضا,وديع شفيق,فارس ديب,محيي الدين عبدالجواد",nan,nan,nan,"حسن رضا,صالح فوزي",أحمد السردار
